ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
103,14150,90.49,2,2.52,61.69,9,0.39,3.18,5,82.6,8,2664.24,33,4,214,Non Defect
103,5450,97.24,1,4.37,89.36,3,2.73,7.59,1,87.05,0,2596.73,44,6.91,309.71,Non Defect
104,8848,97.16,4,0.81,95.77,0,0.82,5.42,1,94.79,6,3074.72,19,1.51,440.49,Non Defect
104,15584,90.93,2,1.1,60.51,4,0.02,7.8,6,100,7,2056.68,34,5.67,217.82,Non Defect
104,6144,96.07,2,2.59,91.67,17,3.7,2.89,3,96.16,4,3102.98,30,5.24,174.63,Non Defect
104,10564,85.09,2,0.7,87.7,2,2.68,2.82,8,93.13,8,2527.14,16,5.96,163.99,Non Defect
104,11659,93.68,3,4.05,69.59,18,1.62,6.46,2,99.17,4,2451.01,28,9.42,218.45,Non Defect
105,5227,87.52,1,0.97,84.11,15,0.89,7.06,9,86.25,2,4176.64,47,1.63,370.85,Defect
106,8525,94.14,1,1.71,76.79,13,2.97,6.29,2,89.23,1,2168.19,12,4.62,212.32,Non Defect
106,19934,86.19,4,3.92,75.8,5,0.02,5.41,3,98.55,1,3204.58,26,2.01,361.29,Non Defect
106,12969,89.22,3,3.26,66.29,5,0.76,7.73,3,96.12,9,2082.09,43,9.04,481.39,Defect
106,10965,95.89,0,0.79,86.06,12,4.42,8.73,5,96.74,3,2511.47,41,3.98,390.69,Non Defect
106,5000,80.49,0,0.51,93.64,0,4.25,2.9,1,94.1,2,1354.1,50,9.28,233.74,Non Defect
106,9617,92.35,2,2.2,97.22,10,3.02,7.44,1,99.48,7,4353.41,10,6.01,471.66,Non Defect
107,5868,96.1,5,1.64,67.38,0,0.35,6.84,5,88.77,1,2382.34,27,1.71,332.64,Non Defect
107,17106,81.45,3,0.79,64.93,21,1.92,8.93,2,90.21,1,2395.38,47,8.4,144.76,Non Defect
107,11168,81.78,5,4.81,60.5,8,3.67,2.53,3,88.74,6,4443.18,36,3.71,120.45,Non Defect
107,10801,83.58,1,0.69,91.59,20,3.11,4.32,9,85.27,9,4454.23,33,5.28,267.1,Non Defect
107,17586,97.96,5,3.74,98.91,1,2.69,3.31,4,87.06,9,2440.95,27,7.09,436.38,Defect
108,9201,86.96,3,2.16,64.42,16,2.95,4.49,9,84.2,7,2842.22,30,4.29,271.32,Non Defect
108,16834,89.11,5,0.54,68.35,13,2.57,7.64,7,97.44,0,2990.97,27,5.4,496.8,Non Defect
108,14928,81.99,5,4.79,81.92,21,4.01,7,3,95.06,6,2944.88,44,3.61,370.62,Defect
109,7014,83.14,5,3.53,82.12,3,4.25,3.37,2,99.15,8,4765.76,45,9.31,239.15,Non Defect
109,7989,98.42,0,2.96,88.27,15,4.42,2.16,8,83.94,6,1611.31,26,2.53,190.96,Non Defect
109,18079,91.71,2,0.88,85.83,10,1.7,4.81,5,95.44,6,1748.54,32,9.74,181.45,Non Defect
109,8843,94.39,1,1.72,69.5,10,1.39,8.97,2,91.69,9,3696.65,11,3.15,179.74,Non Defect
109,8061,88.15,4,2.54,75.15,4,3.84,7.4,1,95.51,1,3663.66,44,9.77,149.8,Defect
110,6731,85.98,5,4.62,80.16,22,1.77,2.49,8,84.61,2,2984.95,12,7.24,388.55,Non Defect
110,9597,81.14,5,2.68,71.75,14,1.01,7.16,10,81.75,6,2026.4,15,6.26,360.43,Non Defect
110,9499,87.54,2,1.7,84.76,21,0.73,2.38,9,90.18,4,4682.97,21,4.59,263.68,Non Defect
110,16206,94.06,4,0.91,99.2,1,1.62,5.7,1,99.75,1,3548.68,15,9.48,202.47,Non Defect
111,18252,95.97,0,4.73,84.52,23,0.78,8.17,7,90.76,6,4155.08,31,9.42,166.1,Non Defect
111,10970,89.68,5,4.18,71.07,9,2.58,9.04,8,84.72,9,3365.97,43,6.85,136.85,Non Defect
111,5010,87.86,2,0.55,80.58,16,3.09,5.42,0,86.23,9,3900.7,18,9.01,138.17,Non Defect
111,6424,99.41,2,2.09,70.71,18,2.54,6.33,9,93.55,9,1907.59,42,4.76,186.38,Defect
111,11639,93.44,3,2.16,68.01,6,0.76,2.1,10,98.52,5,4587.83,45,4.34,376.48,Non Defect
111,11276,84.47,5,0.8,97.96,18,4.62,2.69,6,84.77,8,3389.56,39,7.96,275.51,Non Defect
111,19741,89.51,2,2.1,87.36,9,4.22,4.53,1,90.96,8,2207.89,11,4.76,291.39,Defect
111,16319,81.92,0,4.09,66.31,9,4.87,7.64,9,85.16,7,4164.92,46,9.48,288.17,Non Defect
111,17294,84.69,2,3.63,72.57,9,4.29,5.46,2,94.43,0,3339.54,10,8.12,426.41,Non Defect
112,8216,93.47,3,3.72,63.35,12,2.43,6.51,3,92.5,3,2775.7,49,6.39,300.9,Non Defect
112,13310,96.48,1,2.92,83.4,15,0.4,2.21,0,84.21,7,3749.75,50,7.82,473.8,Non Defect
113,12215,82.61,3,4,75.95,0,0.27,6.93,8,99.21,3,4169.99,18,9.8,242.3,Non Defect
113,8604,93.39,1,1,62.53,11,1.84,5.54,9,80.85,1,2940.45,27,4.39,428.88,Non Defect
113,10809,82.6,3,2.48,79.05,11,4.29,2.83,3,85.62,3,1701.52,28,1.92,437.88,Non Defect
114,12245,87.1,1,4.51,86.8,4,3.46,7.94,7,88.89,0,1479.34,35,1.47,201.52,Non Defect
114,7269,86.65,2,1.33,66.03,3,0.89,6.37,2,97.21,0,4030.37,39,7.07,484.53,Non Defect
114,10948,83.49,2,4.78,81.5,1,2.19,9.31,8,86.54,6,4291.97,35,5.68,431.75,Non Defect
114,12547,80.42,5,4.05,94.65,14,2.26,4.41,8,96.94,9,4349.51,18,8.3,331.12,Non Defect
114,14116,96.48,2,2.02,90.83,5,2.36,4.6,9,82.56,1,1939.58,16,9.96,132.83,Non Defect
115,7232,82.83,0,2.61,92.58,18,1.75,9.61,1,81.88,2,1802.1,31,4.82,313.57,Non Defect
115,10968,98.02,5,3.58,73.95,2,3.32,8.69,7,91.28,7,3970.92,21,2.69,418.4,Non Defect
115,8982,86.2,2,3.35,83.77,20,2.09,6.68,1,81.73,1,3310.71,27,2.42,115.95,Non Defect
116,9970,81.63,4,1.27,76.8,4,3.61,6.34,1,80.26,8,3363.78,49,6.49,381.29,Non Defect
116,8440,85.61,0,2.36,88.38,17,1.87,8.86,10,82.39,9,4292.63,24,1.32,183.23,Defect
116,13290,92.38,5,4.92,98.42,20,1.5,5.13,7,92.09,0,2839.68,39,9.01,408.86,Defect
116,15091,81.44,4,2.38,93.92,12,4.73,9.43,1,87.37,2,1584.39,47,6.47,437.39,Non Defect
116,17081,91.62,4,3.9,91.7,8,3.32,4.17,3,94.72,6,3501.89,16,1.96,171.36,Non Defect
116,8507,92.1,1,1.67,66.32,15,1.56,6.53,10,98.81,4,2244.85,32,1.66,197.36,Non Defect
116,5769,87.9,4,2.7,88.25,4,0.22,4.93,8,89.22,1,1607.05,50,6.57,487.77,Non Defect
116,18461,90.96,0,1.41,97.42,9,1.58,9.37,1,85.73,8,3009.3,43,1.27,196.29,Defect
117,19892,96.7,4,3.81,66.26,11,1.32,8.59,9,94.62,6,1921.25,22,9.94,267.96,Non Defect
117,15484,94.51,1,4.3,96.81,13,4.86,7.53,3,85.05,3,3096.5,44,8.7,181.19,Non Defect
118,12147,85.63,5,2.88,96.59,2,1.02,3.8,4,90.07,2,3059.32,20,1.08,177.07,Non Defect
118,6326,90.03,4,2.11,93.92,9,3.77,9.45,2,89.91,5,2813.36,11,8.94,357.51,Non Defect
118,13204,91.23,5,4.58,85.87,4,0.16,9.11,8,86.17,4,4203.59,40,7.63,284.03,Defect
119,18699,90.51,3,4.44,92.69,5,4.99,6.97,6,94.94,3,1911.7,13,5.25,196.77,Non Defect
119,19075,87.9,0,1.83,68.44,7,4.7,6.56,4,89.94,3,3947.86,11,9.35,288.15,Non Defect
119,5331,98.4,5,0.61,92.9,9,3.73,4.94,6,80.74,3,4856.14,10,2.87,349.94,Defect
120,17267,99.4,4,0.74,92.12,13,1.6,8.38,1,88.71,3,1004.11,29,9.33,312.53,Non Defect
120,15434,92.33,4,2.99,75.89,14,3.76,7.62,2,85.26,6,2757.01,47,1.49,177.97,Non Defect
120,10416,93.37,3,0.96,69.85,17,1.81,7.66,7,86.45,2,2146.22,22,1.32,219.58,Non Defect
120,10939,82.76,4,4.39,79.15,20,0.74,6.97,3,89.36,9,1812.31,33,3.3,177.7,Non Defect
120,15424,82.82,2,1.59,76.52,3,3,4.39,4,92.36,3,4542.25,34,3.93,133.48,Non Defect
120,19115,82.99,2,1.53,73.11,18,0.07,6.86,6,95.61,8,2023.27,21,7.2,211.71,Defect
121,14240,92.06,5,4.87,92.34,17,3.44,8.67,0,92.07,6,4854.89,40,7,491.23,Defect
121,16608,90.37,5,0.61,62.78,14,2.23,9.34,5,84.13,6,2964.01,28,3.28,496.31,Non Defect
121,8472,96.25,3,1.11,78.34,19,4.1,5.46,7,92.97,2,4101.6,21,8.93,463.92,Non Defect
121,10919,97.38,4,1.7,73,8,0.01,8.03,8,80.94,5,1335.08,30,4.39,399.19,Non Defect
121,19364,93.72,4,2.98,65.11,21,4.57,9.86,0,98.6,4,3340,31,1.34,152.87,Non Defect
122,5592,82.07,2,3.99,95,2,4.24,7.18,3,96.59,5,3017.26,36,1.07,268.93,Non Defect
122,12822,94.01,1,3.59,78.87,11,2.36,3.35,3,98.07,7,2061.15,12,8.68,359.61,Non Defect
122,9647,81.16,3,0.78,64.01,7,4.41,3.14,7,86.87,8,2940.03,19,5.27,281.17,Non Defect
122,10878,84.44,3,1.54,81.17,9,3.54,2.83,6,81.37,3,3570.3,29,6.41,403.95,Non Defect
123,13121,85.12,3,3.71,75.92,18,2.86,3.79,5,88.98,0,4189.78,35,4.39,415.78,Non Defect
124,16630,91.91,4,4.53,73.84,22,0.03,3.69,5,92.53,7,2668.52,24,1.65,434.31,Non Defect
124,13233,89.28,2,4.57,84.2,4,3.41,8.87,10,94.3,3,4448.78,39,7.87,375.59,Non Defect
124,7925,97.63,1,4.43,75.03,2,4.54,3.48,1,96.3,1,4742.25,26,1.07,132.42,Non Defect
124,9180,81.71,2,0.68,90.63,12,0.34,6.03,1,89.37,9,1703.33,28,7.41,113.14,Non Defect
124,8704,97.4,3,3.18,73.13,12,2.37,2.67,2,87.34,9,2605.13,22,5.37,477.57,Non Defect
125,15935,84.87,4,1.13,93.69,21,4.39,3.93,8,87.1,4,2533.53,42,9.54,451.68,Defect
125,15517,81.63,3,0.69,90.76,13,4.25,5.63,9,96.61,0,4005.22,39,3.12,142.61,Non Defect
125,5738,86.3,1,2.35,79.26,7,3.96,9.44,5,87.46,8,4756.68,32,7.94,161.08,Non Defect
126,6563,82.67,2,3.99,92.66,19,0.66,3.62,2,97.93,9,3943.53,12,4.18,354.99,Defect
126,11596,86.57,4,4.74,83.82,1,0.5,5.43,0,96.39,5,1988.74,47,2.82,190.42,Non Defect
126,14891,95.17,5,1.66,70.95,2,2.5,6.77,9,85.45,8,1646.36,28,1.85,148.23,Non Defect
127,11746,95.96,0,0.95,69.23,18,4.03,3.52,4,97.79,7,1368.67,29,9.36,367.31,Non Defect
127,8073,98.54,0,1.44,67.81,1,0.91,3.45,5,97.32,6,2562.98,23,9.96,235.9,Defect
127,7446,82.47,0,1.94,90.97,21,1.11,2.64,3,88.17,8,4660.54,14,3.46,425.45,Non Defect
127,9647,93.01,3,4.36,65.49,11,3.27,9.8,8,94.06,5,3402.03,29,8.15,425.43,Non Defect
127,12161,82.26,3,3.01,83.01,3,4.86,5.71,7,87.63,2,1444.27,34,6.96,444.88,Non Defect
128,14996,85.17,5,3.49,94.7,17,0.46,9.53,5,97.67,9,4676.69,41,2.73,219.17,Non Defect
128,6135,99.97,5,2.97,68.56,12,2.21,8.47,5,91.21,0,2436.34,48,3.79,281.32,Defect
128,19601,93.58,2,2.13,72.4,0,2.53,3.66,1,95.05,5,1475.94,37,9.48,366.06,Defect
128,9105,99.23,4,1.98,81.92,7,1.61,2.17,6,89.33,5,1608.81,46,5.59,101.4,Defect
128,17519,87.99,4,2.55,78.53,12,4.06,7.81,0,80.27,1,1989.5,43,6.5,292.56,Non Defect
128,19607,89.13,0,2.92,81.4,15,1.69,9.61,3,91.67,9,2175.58,47,9.67,193.5,Non Defect
128,16241,81.32,1,4.3,70.74,21,3.98,3.58,9,91.31,5,4392.66,14,8.39,213.17,Defect
130,17494,92.53,1,4,79.76,12,2.53,2.92,3,94.34,0,1950.84,46,2.4,103.14,Non Defect
131,15420,86.17,0,3.91,74.49,18,2.61,5.85,3,90.41,5,4933.99,34,2.22,252.33,Defect
132,5940,99.33,3,0.56,78.94,19,1.82,5.34,6,97.44,6,3934.2,39,8.97,351.08,Non Defect
132,18185,89.49,0,2.73,84.27,0,3.58,8.21,10,89.61,5,1331.9,32,5.49,328.86,Non Defect
132,13163,83.42,0,3.73,78.37,10,2.88,6.48,3,83.73,2,3709.51,17,3.7,232.2,Non Defect
133,17721,95.88,0,3.92,97.23,4,4.42,3.59,6,93.38,2,4158.98,44,2.78,205.6,Non Defect
133,11492,97.03,3,4.76,80.46,2,4.94,5.5,8,92.51,8,1316.04,23,4.36,122.99,Non Defect
133,8162,85.74,0,2.97,68.63,12,2.73,3.66,5,92.8,0,1517.36,32,4.88,194.25,Non Defect
134,5878,87.76,0,4.6,66.45,0,0.2,3.19,7,93.05,4,3148.6,16,7.03,278.62,Non Defect
134,15316,88.76,3,4.57,81.53,15,0.94,8.3,2,89.84,6,2495.95,24,8.49,300.11,Non Defect
134,9268,84.55,5,2,85.82,0,0.23,8.96,2,89.59,5,1852.01,32,5.94,237.71,Non Defect
134,6983,90.85,0,2.23,88.58,9,0.04,8.62,1,97.57,0,1213.39,21,4.95,275.39,Non Defect
135,14765,88.57,0,1.54,83.1,5,2.16,9.48,9,88.97,8,4738.28,24,7.26,455.19,Non Defect
135,5152,92.82,1,4.82,79.2,23,3.65,6.57,10,85.41,6,3863.4,11,2.65,381.92,Defect
135,11005,98.9,3,4.28,94.3,2,2.36,9.99,1,82.84,6,4905.49,20,8.21,314.15,Defect
135,16277,92.94,4,1.46,78.02,19,2.74,5.61,1,82.6,0,1788.34,17,5.25,409.53,Non Defect
136,16099,81.45,4,3.89,69.97,17,0.96,2.13,4,86.52,8,4770.12,49,6.08,214.52,Non Defect
136,6620,90.56,2,2.86,95.53,16,0.25,5.76,10,80.73,6,1494.31,48,4.78,247.02,Non Defect
136,6085,90.06,0,3.51,64.57,13,1.16,8.97,4,85.95,4,4788.33,26,5.44,210.28,Defect
136,15721,86.2,1,4.95,93.03,23,0.88,7.56,9,98.61,7,4595.36,10,1.67,364.4,Non Defect
136,16359,84.67,0,2.25,74.63,4,2.27,9.2,7,83.19,3,2256.82,10,4.04,476.41,Non Defect
137,11651,89.84,2,4.26,72.43,9,0.57,4.83,3,98.77,2,3674.64,42,6.03,341.08,Non Defect
137,12134,88.66,3,4.92,91.17,4,1.55,8.35,5,88.14,2,1140.78,24,6.44,203.04,Non Defect
138,10536,99.65,4,2.9,92.25,0,2.1,6.47,4,87.68,2,1027.92,39,9.97,264.52,Non Defect
138,9764,80.33,1,3.53,95.41,10,4.62,5.17,4,95.11,5,2944.69,38,6.15,111.76,Non Defect
138,14116,81.98,5,1.02,95.57,8,0.55,5.97,4,91.45,6,1817.3,47,6.33,410.12,Non Defect
138,18071,97.88,2,3.33,63.08,9,2.36,5.03,10,98.88,1,1468.24,33,2.15,121.68,Non Defect
138,19292,97.63,4,1.04,79.65,9,1.19,7.7,5,95.7,5,1961.56,38,3.47,485.21,Non Defect
138,8281,98.19,5,2.13,75.17,11,1.84,4.18,8,96.87,3,2577.13,34,4.03,499.93,Non Defect
138,17403,86.41,5,1.97,86.42,5,4.38,6.97,9,96.94,3,2686.43,40,7.85,319.4,Non Defect
138,8916,99.12,5,2.75,92.22,8,1.88,6.38,8,90.65,9,4857.58,12,3.26,150.29,Defect
138,6430,97.19,1,4.63,97.35,16,3.76,6.8,7,90.81,4,3993.97,25,6.17,131.45,Non Defect
138,19369,97.9,1,4.31,89.46,18,3.1,2.02,9,83.69,6,3932.93,21,9.82,254.38,Non Defect
138,14231,96.07,3,0.52,75.79,10,2.38,6.14,7,90.35,9,1009.01,33,6,321.43,Non Defect
138,12574,96.51,0,3.79,95.6,17,0.37,9.58,6,90.24,5,1880.81,14,7.86,327.44,Defect
139,13986,89.71,0,2.35,91.04,1,0.73,2.1,3,83.22,2,1897.43,42,1.8,174.08,Non Defect
139,18988,91.48,2,4.28,77.13,0,1.42,8.95,2,83.75,2,4132,47,7.88,474.03,Non Defect
139,14927,87.13,3,4.94,70.67,19,2.4,5.22,8,84.68,7,2975.28,28,3.89,279.5,Non Defect
139,8830,92.27,0,0.56,85.28,10,0.95,4.1,1,88.99,3,1384.15,37,3.5,235.91,Non Defect
139,10323,81.34,0,3.27,82.03,6,2.25,4.5,1,80.97,0,4474.71,37,4.46,447.85,Non Defect
140,17040,89.49,5,1.47,70.14,12,3.42,4.02,0,91.11,2,3068.08,30,4.09,479.6,Defect
140,16391,91.64,4,3.67,94.25,15,2.11,3.24,8,94.61,0,4618.76,48,8.47,269.86,Non Defect
140,14336,82.86,5,3.11,84.6,19,0.56,9.07,3,98.6,5,2786.81,50,2.17,459.58,Non Defect
140,6066,99.98,3,4.51,87.46,14,3.37,3.87,8,89.97,4,4818.16,19,4.89,109.97,Non Defect
141,5703,84.23,1,1.69,85.22,16,1.56,2.53,4,89.02,9,2161.24,33,9.39,304.95,Defect
141,11145,98.81,2,3.97,84.58,8,0.37,7.87,4,86.06,1,2465.43,36,1.43,263.1,Non Defect
141,6277,96.74,3,0.98,74.23,14,0.55,9.65,7,92.68,7,2946.81,39,5.55,160.29,Defect
141,7779,82.42,3,2.17,93.77,2,4.36,6.33,3,80.84,8,4624.76,37,9.29,211.03,Defect
141,19882,87.27,5,1.68,88.73,17,4.01,2.74,9,83.32,2,3793.87,45,5.21,215.15,Non Defect
142,11587,99.6,5,4.29,82.18,23,4.49,9.98,10,80.46,3,1719.37,15,2.93,459.51,Non Defect
142,9237,98.66,5,2.36,98.62,5,1.12,7.6,3,81.54,7,1556.3,41,7.18,121.28,Non Defect
142,13554,94.96,2,4.75,61.63,9,3.47,8.31,9,87.64,3,4563.17,35,2.19,358.57,Non Defect
142,14683,94.65,0,2.19,96.68,19,0.95,6.13,1,89.61,3,4501.43,27,4.12,234.63,Defect
142,15969,91.79,0,1.59,80.91,6,3.31,7.4,4,83.53,2,3421.41,24,9.77,457.7,Defect
143,16939,98.19,5,4.95,99.59,12,4.44,7.75,4,99.43,4,3638.9,18,4.3,151.37,Non Defect
145,8105,93.83,2,4.36,62.78,9,1.45,9.48,3,97.19,5,4236.72,22,4.89,367.51,Non Defect
145,13757,83.42,4,2.23,68.97,6,2.91,5.08,6,80.67,0,3190.54,30,1.49,227.28,Non Defect
145,10927,96.46,4,2.25,62.59,9,0.81,7.42,6,88.23,3,3549.88,29,9.51,437.76,Defect
145,8879,93.08,4,3.29,60.01,21,0.78,9.27,8,81.34,8,4244.43,48,6.96,439.34,Non Defect
146,10188,81.14,0,1.25,80.05,16,0.02,4.18,5,95.69,0,3344.69,42,2.48,465.97,Non Defect
146,13366,93.67,4,4.44,77.13,11,1.18,4.15,3,96.07,3,3632.62,39,2.95,140.74,Non Defect
146,12769,83.19,3,4.63,81.44,22,0.96,6.75,4,98.26,5,3022.67,42,3.84,159.58,Non Defect
146,6538,96.05,0,0.65,83.75,12,3.27,6.26,7,80.45,5,1819.55,47,9.97,462.07,Non Defect
146,8293,90.34,1,1.05,92.77,17,0.81,6.58,6,81.22,1,4715.04,46,3.46,418.38,Non Defect
146,13954,82.99,1,3.56,72.27,15,3.33,3.51,7,81.51,6,4128.92,33,5.32,298.36,Non Defect
146,12984,85.3,0,1.8,79.84,3,0.49,7.61,8,81.36,7,3170.03,46,3.56,309.7,Non Defect
147,18597,93.94,5,3.97,89.86,9,0.85,6.26,7,95.22,0,2554.99,21,8.07,322.28,Non Defect
147,11926,98.75,4,1.95,80.16,8,1.86,4.56,6,83.74,3,4110.35,47,9.23,318.69,Defect
148,9152,80.69,1,1.5,71.85,15,0.69,9.47,3,85.15,9,4637.21,24,9.29,427.12,Non Defect
148,8034,80.98,0,4.82,61.33,0,4.57,8.69,5,90.14,2,4193.71,19,3.98,315.22,Non Defect
148,16400,84.6,4,3.62,73.13,10,4.5,7.86,2,82.08,4,2705.35,39,4.73,410.26,Non Defect
149,14684,91.34,1,1.17,61.57,4,0.11,2.22,1,87.27,9,2781.18,27,5.19,145.62,Non Defect
150,6845,97.39,0,0.57,72.18,11,2.04,2.92,6,87.78,5,4660.59,36,2.44,141.63,Non Defect
150,12483,89.44,4,4.23,73.74,18,0.59,2.88,5,86.24,3,1007.09,14,8.07,347.73,Non Defect
150,15689,86.02,5,3.38,75.74,14,2.65,8.19,7,87.14,8,2309.76,33,2.62,246.16,Non Defect
150,11995,81.33,4,1.73,80.43,16,4.53,2.99,10,83.05,7,1050.33,13,9.74,163.07,Non Defect
150,5584,94.93,0,3.32,85.77,18,3,9.18,1,94.82,1,3856.36,41,8.9,185.45,Non Defect
150,9323,94.72,1,0.73,95.84,23,1.14,7.56,5,89.5,1,1588.36,14,8.28,415.31,Defect
152,9481,87.88,0,3.9,73.84,12,2.16,9.09,3,90.41,8,3884.13,17,8.53,351.74,Defect
152,7811,96.2,1,4.27,66.11,13,4.8,3.59,3,98.26,3,2725.93,11,3.51,326.68,Non Defect
152,13733,96.87,5,2.33,91.11,15,2.95,6.74,2,91.46,1,2230.17,43,4.33,211.53,Non Defect
152,16567,90.79,5,3.04,93.48,7,4.89,2.54,0,87.36,4,1067.82,40,5.29,214.73,Non Defect
152,15495,96.47,0,3.93,93.68,7,0.91,2.48,9,82.16,6,2149.64,25,8.97,205.87,Non Defect
152,15265,93.78,1,4.62,74.74,21,0.84,2.15,0,94.55,9,3728.01,48,2.57,128.76,Non Defect
153,9571,84.35,0,0.95,99.44,4,1.72,7.2,7,88.48,6,3251.49,48,8.62,166.18,Non Defect
153,17863,98.22,1,2.16,77.98,16,1.87,6.54,7,97.86,9,3955.72,11,4.14,112.67,Non Defect
153,10576,87.13,0,3.54,92.24,15,2.49,7.25,2,86.23,9,3654.08,42,1.77,344.21,Non Defect
153,8480,82.7,1,3.32,89.85,13,1.44,4.61,7,90.85,3,4542.57,20,8.58,425.16,Non Defect
153,14881,96.72,2,2.41,84.88,10,3.15,8.64,4,83.27,4,4297.55,21,3.4,102.19,Non Defect
154,18514,92.79,2,2.47,68.74,11,2.98,3.54,3,97.23,9,4526.83,31,5.04,419.75,Non Defect
154,16223,85.35,4,4.9,97.25,21,3.3,5.48,8,87.39,0,1981.99,16,1.71,106.83,Non Defect
154,9708,95.48,1,1.45,62.78,7,3.33,9.13,6,91.42,9,4495.49,18,7.66,451.09,Non Defect
154,7076,87.19,2,2.22,88.9,6,2.2,3.99,8,88.15,2,2898.72,17,7.85,410.42,Non Defect
155,18994,82.91,1,1.43,89.97,14,1.93,8.96,5,93.25,0,3508.52,40,3.79,125.36,Non Defect
155,13431,86.74,4,4.68,67.77,13,0.61,3.32,7,99.33,6,3937.44,27,8.98,476.46,Non Defect
155,16453,81.04,0,4.76,84.48,19,2.21,5.06,5,82.6,9,1331.61,48,7.26,216.37,Non Defect
157,7108,93.5,3,1.85,91.04,0,0.85,8.94,10,92.6,8,2107.91,42,9.78,161.01,Non Defect
157,5350,82.11,4,3.73,99.48,5,1.53,4.53,5,83.44,3,2605.46,15,1.84,311.83,Non Defect
157,15698,94.21,2,3.05,73.41,5,0.68,9.34,2,88.07,0,2034.47,42,8.82,293.18,Non Defect
157,13927,86.62,5,4.1,79.39,1,4.29,2.07,4,82.6,4,3075.92,28,2.48,232.32,Defect
157,17583,95.92,2,1.32,72.98,3,1.86,2.98,0,83.98,6,4725.26,23,9.38,240.87,Non Defect
158,16415,91.63,2,3.67,65.09,9,2.02,9.93,4,94.9,2,3722.46,33,5.56,144.58,Non Defect
158,13748,91.92,5,0.57,70.07,20,0.6,9.26,4,93.2,6,1441.29,32,4.15,433.53,Non Defect
158,15954,84.21,3,4.1,79.75,13,1.8,3.96,3,91.94,5,1416.72,20,9.48,290.09,Defect
158,5818,83.37,3,2.15,78.09,11,0.06,2.06,1,89.79,4,3219.66,27,1.26,389.7,Non Defect
159,9060,99.28,0,3.75,76.25,11,4.56,3.22,1,80.67,7,4824.98,46,4.38,206.18,Non Defect
159,16488,94.55,0,2.01,98.65,4,0.67,7.49,4,85.05,5,2172.13,14,1.34,103.63,Non Defect
159,6312,85,0,2.17,93.32,19,4.57,3.4,6,80.35,3,1883.88,42,7.65,436.72,Non Defect
160,9544,96.72,4,4.53,72.32,21,4.52,2.15,7,82.12,4,2277.9,22,4.71,160.68,Non Defect
160,7118,98.29,1,0.95,97.54,16,1.15,2.39,6,89.73,5,2311.51,24,3.98,446.21,Non Defect
160,10132,98.23,4,4.9,72.04,9,4.96,5.89,2,86.5,6,2022.8,38,3.13,351.57,Non Defect
161,8486,86.84,4,2.48,68.59,1,2.18,7.18,2,85.59,8,4574.46,14,9.03,456.34,Non Defect
161,13941,90.67,5,3.41,62.22,2,4.29,2.42,5,94.17,5,3932.28,29,4.03,130.95,Non Defect
161,15380,97.57,1,1.99,94.19,8,2.9,6.71,3,90.28,2,2260.73,21,4.83,418.17,Non Defect
